"MSSubClass","MSZoning","LotArea","Street","LotShape","LandContour","Utilities","LotConfig","LandSlope","Neighborhood","Condition1","Condition2","BldgType","HouseStyle","OverallQual","OverallCond","YearRemodAdd","RoofStyle","RoofMatl","Exterior1st","Exterior2nd","MasVnrType","MasVnrArea","ExterQual","ExterCond","Foundation","BsmtQual","BsmtCond","BsmtExposure","BsmtFinType1","BsmtFinType2","BsmtFinSF2","BsmtUnfSF","TotalBsmtSF","Heating","HeatingQC","CentralAir","Electrical","LowQualFinSF","BsmtFullBath","BsmtHalfBath","FullBath","HalfBath","BedroomAbvGr","KitchenAbvGr","KitchenQual","Functional","Fireplaces","GarageType","GarageFinish","GarageArea","GarageQual","PavedDrive","WoodDeckSF","OpenPorchSF","EnclosedPorch","X3SsnPorch","ScreenPorch","PoolArea","MiscVal","MoSold","YrSold","SaleType","SaleCondition"
"20","RL",11200,"Pave","Reg","Lvl","AllPub","Inside","Gtl","Sawyer","Norm","Norm","1Fam","1Story",5,5,1965,"Hip","CompShg","HdBoard","HdBoard","None",0,"TA","TA","CBlock","TA","TA","No","Rec","Unf",0,134,1040,"GasA","Ex","Y","SBrkr",0,1,0,1,0,3,1,"TA","Typ",0,"Detchd","Unf",384,"TA","Y",0,0,0,0,0,0,0,2,2008,"WD","Normal"
"60","RL",11924,"Pave","IR1","Lvl","AllPub","Inside","Gtl","NridgHt","Norm","Norm","1Fam","2Story",9,5,2006,"Hip","CompShg","WdShing","Wd Shng","Stone",286,"Ex","TA","PConc","Ex","TA","No","GLQ","Unf",0,177,1175,"GasA","Ex","Y","SBrkr",0,1,0,3,0,4,1,"Ex","Typ",2,"BuiltIn","Fin",736,"TA","Y",147,21,0,0,0,0,0,7,2006,"New","Partial"
"20","RL",12968,"Pave","IR2","Lvl","AllPub","Inside","Gtl","Sawyer","Norm","Norm","1Fam","1Story",5,6,1962,"Hip","CompShg","HdBoard","Plywood","None",0,"TA","TA","CBlock","TA","TA","No","ALQ","Unf",0,175,912,"GasA","TA","Y","SBrkr",0,1,0,1,0,2,1,"TA","Typ",0,"Detchd","Unf",352,"TA","Y",140,0,0,0,176,0,0,9,2008,"WD","Normal"
"20","RL",10652,"Pave","IR1","Lvl","AllPub","Inside","Gtl","CollgCr","Norm","Norm","1Fam","1Story",7,5,2007,"Gable","CompShg","VinylSd","VinylSd","Stone",306,"Gd","TA","PConc","Gd","TA","Av","Unf","Unf",0,1494,1494,"GasA","Ex","Y","SBrkr",0,0,0,2,0,3,1,"Gd","Typ",1,"Attchd","RFn",840,"TA","Y",160,33,0,0,0,0,0,8,2007,"New","Partial"
"20","RL",10920,"Pave","IR1","Lvl","AllPub","Corner","Gtl","NAmes","Norm","Norm","1Fam","1Story",6,5,1960,"Hip","CompShg","MetalSd","MetalSd","BrkFace",212,"TA","TA","CBlock","TA","TA","No","BLQ","Unf",0,520,1253,"GasA","TA","Y","SBrkr",0,1,0,1,1,2,1,"TA","Typ",1,"Attchd","RFn",352,"TA","Y",0,213,176,0,0,0,0,5,2008,"WD","Normal"
"45","RM",6120,"Pave","Reg","Lvl","AllPub","Corner","Gtl","BrkSide","Norm","Norm","1Fam","1.5Unf",7,8,2001,"Gable","CompShg","Wd Sdng","Wd Sdng","None",0,"TA","TA","BrkTil","TA","TA","No","Unf","Unf",0,832,832,"GasA","Ex","Y","FuseA",0,0,0,1,0,2,1,"TA","Typ",0,"Detchd","Unf",576,"TA","Y",48,112,0,0,0,0,0,7,2007,"WD","Normal"
"20","RL",11241,"Pave","IR1","Lvl","AllPub","CulDSac","Gtl","NAmes","Norm","Norm","1Fam","1Story",6,7,1970,"Gable","CompShg","Wd Sdng","Wd Sdng","BrkFace",180,"TA","TA","CBlock","TA","TA","No","ALQ","Unf",0,426,1004,"GasA","Ex","Y","SBrkr",0,1,0,1,0,2,1,"TA","Typ",1,"Attchd","Fin",480,"TA","Y",0,0,0,0,0,0,700,3,2010,"WD","Normal"
"90","RL",10791,"Pave","Reg","Lvl","AllPub","Inside","Gtl","Sawyer","Norm","Norm","Duplex","1Story",4,5,1967,"Gable","CompShg","MetalSd","MetalSd","None",0,"TA","TA","Slab","TA","TA","No","Rec","Unf",0,0,0,"GasA","TA","Y","SBrkr",0,0,0,2,0,2,2,"TA","Typ",0,"CarPort","Unf",516,"TA","Y",0,0,0,0,0,0,500,10,2006,"WD","Normal"
"20","RL",13695,"Pave","Reg","Lvl","AllPub","Inside","Gtl","SawyerW","RRAe","Norm","1Fam","1Story",5,5,2004,"Gable","CompShg","VinylSd","VinylSd","None",0,"TA","TA","PConc","TA","TA","No","GLQ","Unf",0,468,1114,"GasA","Ex","Y","SBrkr",0,1,0,1,1,3,1,"Gd","Typ",0,"Detchd","Unf",576,"TA","Y",0,102,0,0,0,0,0,6,2008,"WD","Normal"
"20","RL",7560,"Pave","Reg","Lvl","AllPub","Inside","Gtl","NAmes","Norm","Norm","1Fam","1Story",5,6,1965,"Hip","CompShg","BrkFace","Plywood","None",0,"TA","TA","CBlock","TA","TA","No","LwQ","Unf",0,525,1029,"GasA","TA","Y","SBrkr",0,0,0,1,0,3,1,"TA","Min1",0,"Attchd","Unf",294,"TA","Y",0,0,0,0,0,0,0,5,2009,"COD","Abnorml"
"60","RL",14215,"Pave","IR1","Lvl","AllPub","Corner","Gtl","NridgHt","Norm","Norm","1Fam","2Story",8,5,2006,"Gable","CompShg","VinylSd","VinylSd","BrkFace",380,"Gd","TA","PConc","Ex","TA","Av","Unf","Unf",0,1158,1158,"GasA","Ex","Y","SBrkr",0,0,0,3,1,4,1,"Gd","Typ",1,"BuiltIn","RFn",853,"TA","Y",240,154,0,0,0,0,0,11,2006,"New","Partial"
"45","RM",7449,"Pave","Reg","Bnk","AllPub","Inside","Gtl","IDOTRR","Norm","Norm","1Fam","1.5Unf",7,7,1950,"Gable","CompShg","Wd Sdng","Wd Sdng","None",0,"TA","TA","PConc","TA","TA","No","Unf","Unf",0,637,637,"GasA","Ex","Y","FuseF",0,0,0,1,0,3,1,"Gd","Typ",1,"Attchd","Unf",280,"TA","N",0,0,205,0,0,0,0,6,2007,"WD","Normal"
"20","RL",9742,"Pave","Reg","Lvl","AllPub","Inside","Gtl","CollgCr","Norm","Norm","1Fam","1Story",8,5,2002,"Hip","CompShg","VinylSd","VinylSd","BrkFace",281,"Gd","TA","PConc","Gd","TA","No","Unf","Unf",0,1777,1777,"GasA","Ex","Y","SBrkr",0,0,0,2,0,3,1,"Gd","Typ",1,"Attchd","RFn",534,"TA","Y",171,159,0,0,0,0,0,9,2008,"WD","Normal"
"120","RM",4224,"Pave","Reg","Lvl","AllPub","Inside","Gtl","MeadowV","Norm","Norm","TwnhsE","1Story",5,7,1976,"Gable","CompShg","CemntBd","CmentBd","None",0,"TA","TA","PConc","Gd","TA","No","GLQ","Unf",0,200,1040,"GasA","TA","Y","SBrkr",0,1,0,1,0,3,1,"TA","Typ",1,"Attchd","Unf",572,"TA","Y",100,110,0,0,0,0,0,6,2007,"WD","Normal"
"20","RL",8246,"Pave","IR1","Lvl","AllPub","Inside","Gtl","Sawyer","Norm","Norm","1Fam","1Story",5,8,2001,"Gable","CompShg","Plywood","Plywood","None",0,"TA","Gd","CBlock","TA","TA","Mn","Rec","ALQ",668,204,1060,"GasA","Ex","Y","SBrkr",0,1,0,1,0,3,1,"Gd","Typ",1,"Attchd","Unf",270,"TA","Y",406,90,0,0,0,0,0,5,2010,"WD","Normal"
"20","RL",14230,"Pave","Reg","Lvl","AllPub","Corner","Gtl","NridgHt","Norm","Norm","1Fam","1Story",8,5,2007,"Gable","CompShg","VinylSd","VinylSd","Stone",640,"Gd","TA","PConc","Gd","TA","No","Unf","Unf",0,1566,1566,"GasA","Ex","Y","SBrkr",0,0,0,2,0,3,1,"Gd","Typ",1,"Attchd","RFn",890,"TA","Y",0,56,0,0,0,0,0,7,2009,"WD","Normal"
"20","RL",7200,"Pave","Reg","Lvl","AllPub","Corner","Gtl","NAmes","Norm","Norm","1Fam","1Story",5,7,2000,"Gable","CompShg","Wd Sdng","Wd Sdng","None",0,"TA","TA","CBlock","TA","TA","Mn","BLQ","Rec",486,180,900,"GasA","TA","Y","SBrkr",0,0,1,1,0,3,1,"Gd","Typ",0,"Detchd","Unf",576,"TA","Y",222,32,0,0,0,0,0,5,2010,"WD","Normal"
"20","RL",11478,"Pave","Reg","Lvl","AllPub","Inside","Gtl","NridgHt","Norm","Norm","1Fam","1Story",8,5,2008,"Gable","CompShg","VinylSd","VinylSd","Stone",200,"Gd","TA","PConc","Ex","TA","No","GLQ","Unf",0,486,1704,"GasA","Ex","Y","SBrkr",0,1,0,2,0,3,1,"Gd","Typ",1,"Attchd","RFn",772,"TA","Y",0,50,0,0,0,0,0,5,2010,"WD","Normal"
"20","RL",16321,"Pave","IR1","Lvl","AllPub","CulDSac","Gtl","NAmes","Norm","Norm","1Fam","1Story",5,6,1997,"Gable","CompShg","MetalSd","MetalSd","None",0,"TA","TA","CBlock","TA","TA","Gd","BLQ","Unf",0,207,1484,"GasA","TA","Y","SBrkr",0,1,0,1,0,2,1,"TA","Typ",2,"Attchd","RFn",319,"TA","Y",288,258,0,0,0,0,0,12,2006,"WD","Normal"
"30","RM",6324,"Pave","IR1","Lvl","AllPub","Inside","Gtl","BrkSide","Feedr","RRNn","1Fam","1Story",4,6,1950,"Gable","CompShg","MetalSd","MetalSd","None",0,"TA","TA","BrkTil","TA","TA","No","Unf","Unf",0,520,520,"GasA","Fa","N","SBrkr",0,0,0,1,0,1,1,"Fa","Typ",0,"Detchd","Unf",240,"Fa","Y",49,0,87,0,0,0,0,5,2008,"WD","Normal"
"70","C (all)",8500,"Pave","Reg","Lvl","AllPub","Inside","Gtl","IDOTRR","Feedr","Norm","1Fam","2Story",4,4,1950,"Gambrel","CompShg","BrkFace","BrkFace","None",0,"TA","Fa","BrkTil","TA","TA","No","Unf","Unf",0,649,649,"GasA","TA","N","SBrkr",0,0,0,1,0,3,1,"TA","Typ",0,"Detchd","Unf",250,"TA","N",0,54,172,0,0,0,0,7,2008,"WD","Normal"
"20","RL",8544,"Pave","IR1","Lvl","AllPub","CulDSac","Gtl","Sawyer","Norm","Norm","1Fam","1Story",5,6,2006,"Gable","CompShg","HdBoard","HdBoard","None",0,"TA","TA","CBlock","TA","TA","No","Unf","Unf",0,1228,1228,"GasA","Gd","Y","SBrkr",0,0,0,1,1,3,1,"Gd","Typ",0,"Attchd","Unf",271,"TA","Y",0,65,0,0,0,0,0,6,2008,"WD","Normal"
"20","RL",11049,"Pave","Reg","Lvl","AllPub","Corner","Gtl","CollgCr","Norm","Norm","1Fam","1Story",8,5,2007,"Gable","CompShg","VinylSd","VinylSd","None",0,"Gd","TA","PConc","Ex","TA","Av","Unf","Unf",0,1234,1234,"GasA","Ex","Y","SBrkr",0,0,0,2,0,3,1,"Gd","Typ",0,"Attchd","RFn",484,"TA","Y",0,30,0,0,0,0,0,1,2008,"WD","Normal"
"20","RL",10552,"Pave","IR1","Lvl","AllPub","Inside","Gtl","NAmes","Norm","Norm","1Fam","1Story",5,5,1959,"Hip","CompShg","BrkFace","BrkFace","None",0,"TA","TA","CBlock","TA","TA","No","Rec","Unf",0,380,1398,"GasA","Gd","Y","SBrkr",0,0,1,1,1,4,1,"Gd","Typ",1,"Attchd","RFn",447,"TA","Y",0,38,0,0,0,0,0,4,2010,"WD","Normal"
"120","RL",7313,"Pave","Reg","Lvl","AllPub","Inside","Gtl","NridgHt","Norm","Norm","TwnhsE","1Story",9,5,2005,"Hip","CompShg","MetalSd","MetalSd","BrkFace",246,"Ex","TA","PConc","Ex","TA","No","GLQ","Unf",0,408,1561,"GasA","Ex","Y","SBrkr",0,1,0,2,0,2,1,"Ex","Typ",1,"Attchd","Fin",556,"TA","Y",203,47,0,0,0,0,0,8,2007,"WD","Normal"
"60","RL",13418,"Pave","Reg","Lvl","AllPub","Inside","Gtl","NridgHt","Norm","Norm","1Fam","2Story",8,5,2005,"Gable","CompShg","VinylSd","VinylSd","Stone",132,"Gd","TA","PConc","Ex","TA","Av","Unf","Unf",0,1117,1117,"GasA","Ex","Y","SBrkr",0,0,0,3,1,4,1,"Gd","Typ",1,"BuiltIn","Fin",691,"TA","Y",113,32,0,0,0,0,0,9,2006,"WD","Normal"
"20","RL",10859,"Pave","Reg","Lvl","AllPub","Corner","Gtl","CollgCr","Norm","Norm","1Fam","1Story",5,5,1995,"Gable","CompShg","VinylSd","VinylSd","None",0,"TA","TA","PConc","Gd","TA","No","Unf","Unf",0,1097,1097,"GasA","Ex","Y","SBrkr",0,0,0,1,1,3,1,"TA","Typ",0,"Attchd","Unf",672,"TA","Y",392,64,0,0,0,0,0,6,2009,"WD","Normal"
"20","RL",8532,"Pave","Reg","Lvl","AllPub","Inside","Gtl","NAmes","Norm","Norm","1Fam","1Story",5,6,1990,"Hip","CompShg","Wd Sdng","Wd Sdng","BrkFace",650,"TA","TA","CBlock","TA","TA","No","Rec","Unf",0,84,1297,"GasA","Gd","Y","SBrkr",0,0,1,1,0,3,1,"TA","Typ",1,"Attchd","Fin",498,"TA","Y",0,0,0,0,0,0,0,10,2009,"WD","Normal"
"20","RL",7922,"Pave","Reg","Lvl","AllPub","Inside","Gtl","NAmes","Norm","Norm","1Fam","1Story",5,7,2007,"Gable","CompShg","VinylSd","VinylSd","None",0,"TA","Gd","CBlock","TA","TA","No","GLQ","Unf",0,326,1057,"GasA","TA","Y","SBrkr",0,1,0,1,0,3,1,"Gd","Typ",0,"Detchd","Unf",246,"TA","Y",0,52,0,0,0,0,0,1,2010,"WD","Abnorml"
"90","RL",6040,"Pave","Reg","Lvl","AllPub","Inside","Gtl","Edwards","Norm","Norm","Duplex","1Story",4,5,1955,"Gable","CompShg","AsbShng","Plywood","None",0,"TA","TA","PConc","TA","TA","No","Unf","Unf",0,0,0,"GasA","TA","N","FuseP",0,0,0,2,0,2,2,"Fa","Typ",0,"Detchd","Unf",0,"TA","N",0,0,0,0,0,0,0,6,2008,"WD","AdjLand"
"20","RL",8658,"Pave","Reg","Lvl","AllPub","Inside","Gtl","NAmes","Norm","Norm","1Fam","1Story",6,5,1965,"Gable","CompShg","Wd Sdng","Wd Sdng","BrkFace",101,"TA","TA","CBlock","TA","TA","No","Rec","Unf",0,445,1088,"GasA","Ex","Y","SBrkr",0,0,0,2,0,3,1,"TA","Typ",1,"Attchd","RFn",440,"TA","Y",0,138,0,0,0,0,0,12,2006,"WD","Abnorml"
"20","RL",16905,"Pave","Reg","Lvl","AllPub","Inside","Gtl","Timber","Norm","Norm","1Fam","1Story",5,6,1959,"Gable","CompShg","VinylSd","VinylSd","None",0,"TA","Gd","CBlock","TA","TA","Gd","BLQ","Unf",0,383,1350,"GasA","Gd","Y","SBrkr",0,0,1,1,1,2,1,"TA","Typ",2,"Attchd","RFn",308,"TA","P",0,104,0,0,0,0,0,7,2007,"WD","Normal"
"85","RL",9180,"Pave","IR1","Lvl","AllPub","CulDSac","Gtl","SawyerW","Norm","Norm","1Fam","SFoyer",5,7,1983,"Gable","CompShg","HdBoard","HdBoard","None",0,"TA","TA","CBlock","Gd","TA","Av","ALQ","LwQ",93,0,840,"GasA","Gd","Y","SBrkr",0,1,0,1,0,2,1,"Gd","Typ",0,"Attchd","RFn",504,"TA","Y",240,0,0,0,0,0,0,12,2007,"WD","Normal"
"20","RL",9200,"Pave","IR1","Lvl","AllPub","CulDSac","Gtl","CollgCr","Norm","Norm","1Fam","1Story",5,6,1980,"Hip","CompShg","VinylSd","VinylSd","None",0,"TA","TA","CBlock","Gd","TA","Av","LwQ","BLQ",491,167,938,"GasA","TA","Y","SBrkr",0,1,0,1,0,3,1,"TA","Typ",0,"Detchd","Unf",308,"TA","Y",145,0,0,0,0,0,0,7,2008,"WD","Normal"
"20","RL",7945,"Pave","Reg","Lvl","AllPub","Inside","Gtl","NAmes","Norm","Norm","1Fam","1Story",5,6,1959,"Gable","CompShg","BrkFace","Wd Sdng","None",0,"TA","TA","CBlock","TA","TA","No","ALQ","BLQ",506,465,1150,"GasA","Ex","Y","FuseA",0,1,0,1,0,3,1,"TA","Typ",0,"Attchd","RFn",300,"TA","Y",0,0,0,0,0,0,0,5,2006,"WD","Normal"
"120","RL",7658,"Pave","Reg","Lvl","AllPub","Inside","Gtl","NridgHt","Norm","Norm","TwnhsE","1Story",9,5,2005,"Hip","CompShg","MetalSd","MetalSd","BrkFace",412,"Ex","TA","PConc","Ex","TA","No","GLQ","Unf",0,1296,1752,"GasA","Ex","Y","SBrkr",0,1,0,2,0,2,1,"Ex","Typ",1,"Attchd","RFn",576,"TA","Y",196,82,0,0,0,0,0,2,2010,"WD","Normal"
"50","RL",12822,"Pave","IR1","Lvl","AllPub","CulDSac","Gtl","Mitchel","Norm","Norm","1Fam","1.5Fin",7,5,2003,"Gable","CompShg","VinylSd","VinylSd","None",0,"Gd","TA","PConc","Ex","TA","No","GLQ","Unf",0,83,1434,"GasA","Ex","Y","SBrkr",0,1,0,1,1,1,1,"Gd","Typ",1,"Attchd","RFn",670,"TA","Y",168,43,0,0,198,0,0,8,2009,"WD","Abnorml"
"20","FV",11096,"Pave","Reg","Lvl","AllPub","Inside","Gtl","Somerst","Norm","Norm","1Fam","1Story",8,5,2006,"Gable","CompShg","VinylSd","VinylSd","None",0,"Gd","TA","PConc","Gd","TA","Av","GLQ","Unf",0,1632,1656,"GasA","Ex","Y","SBrkr",0,0,0,2,0,3,1,"Gd","Typ",0,"Attchd","RFn",826,"TA","Y",0,146,0,0,0,0,0,7,2007,"WD","Normal"
"190","RM",4456,"Pave","Reg","Lvl","AllPub","Inside","Gtl","OldTown","Norm","Norm","2fmCon","2Story",4,5,2008,"Gable","CompShg","MetalSd","MetalSd","None",0,"TA","TA","BrkTil","TA","TA","No","Unf","Unf",0,736,736,"GasA","Gd","Y","SBrkr",0,0,0,2,0,2,3,"TA","Typ",0,"Detchd","Unf",0,"TA","N",0,0,102,0,0,0,0,6,2009,"New","Partial"
"20","RL",7742,"Pave","Reg","Lvl","AllPub","Inside","Gtl","Sawyer","Norm","Norm","1Fam","1Story",5,7,1966,"Gable","CompShg","HdBoard","HdBoard","None",0,"TA","TA","CBlock","TA","TA","No","BLQ","Unf",0,192,955,"GasA","Ex","Y","SBrkr",0,1,0,1,0,3,1,"TA","Typ",0,"Attchd","Unf",386,"TA","Y",0,0,0,0,0,0,0,1,2007,"WD","Normal"
"60","RL",13869,"Pave","IR2","Lvl","AllPub","Corner","Gtl","Gilbert","Norm","Norm","1Fam","2Story",6,6,1997,"Gable","CompShg","VinylSd","VinylSd","None",0,"TA","TA","PConc","Gd","TA","Av","GLQ","Unf",0,612,794,"GasA","Gd","Y","SBrkr",0,0,1,2,0,3,1,"TA","Typ",0,"Attchd","Fin",388,"TA","Y",0,75,0,0,0,0,0,7,2007,"WD","Normal"
"50","RM",6240,"Pave","Reg","Lvl","AllPub","Inside","Gtl","BrkSide","Norm","Norm","1Fam","1.5Fin",6,6,1950,"Gable","CompShg","Wd Sdng","Wd Sdng","None",0,"TA","TA","PConc","TA","TA","No","Unf","Unf",0,816,816,"GasA","TA","Y","SBrkr",360,0,0,1,0,3,1,"TA","Typ",1,"Detchd","Unf",528,"TA","Y",112,0,0,0,0,0,400,9,2006,"WD","Normal"
"90","RM",8472,"Grvl","IR2","Bnk","AllPub","Corner","Mod","IDOTRR","RRNn","Norm","Duplex","1Story",5,5,1963,"Gable","CompShg","Wd Sdng","Wd Sdng","None",0,"Fa","TA","CBlock","Gd","TA","Gd","LwQ","GLQ",712,0,816,"GasA","TA","N","SBrkr",0,1,0,1,0,2,1,"TA","Typ",0,"CarPort","Unf",516,"TA","Y",106,0,0,0,0,0,0,5,2010,"WD","Normal"
"20","RL",50271,"Pave","IR1","Low","AllPub","Inside","Gtl","Veenker","Norm","Norm","1Fam","1Story",9,5,1987,"Gable","WdShngl","WdShing","Wd Shng","None",0,"Gd","TA","CBlock","Ex","TA","Gd","GLQ","Unf",0,32,1842,"GasA","Gd","Y","SBrkr",0,2,0,0,1,0,1,"Gd","Typ",1,"Attchd","Fin",894,"TA","Y",857,72,0,0,0,0,0,11,2006,"WD","Normal"
"80","RL",7134,"Pave","Reg","Bnk","AllPub","Inside","Mod","NAmes","Norm","Norm","1Fam","SLvl",5,5,1955,"Gable","CompShg","MetalSd","MetalSd","None",0,"TA","TA","CBlock","TA","TA","No","ALQ","Unf",0,0,384,"GasA","TA","Y","SBrkr",0,0,0,1,0,3,1,"TA","Min1",1,"Detchd","Unf",572,"TA","Y",0,50,0,0,0,0,0,2,2007,"WD","Normal"
"20","RL",10175,"Pave","IR1","Lvl","AllPub","Inside","Gtl","NAmes","Norm","Norm","1Fam","1Story",6,5,1964,"Gable","CompShg","HdBoard","Plywood","BrkFace",272,"TA","TA","CBlock","TA","TA","No","BLQ","Unf",0,935,1425,"GasA","Gd","Y","SBrkr",0,0,0,2,0,3,1,"TA","Typ",1,"Attchd","RFn",576,"TA","Y",0,0,0,407,0,0,0,7,2008,"WD","Normal"
"160","FV",2645,"Pave","Reg","Lvl","AllPub","Inside","Gtl","Somerst","Norm","Norm","Twnhs","2Story",8,5,2000,"Gable","CompShg","MetalSd","MetalSd","BrkFace",456,"Gd","TA","PConc","Gd","TA","No","GLQ","Unf",0,321,970,"GasA","Ex","Y","SBrkr",0,1,0,2,1,3,1,"Gd","Typ",0,"Attchd","Fin",480,"TA","Y",115,0,0,0,0,0,0,8,2009,"WD","Abnorml"
"60","RL",11645,"Pave","IR1","Lvl","AllPub","Corner","Gtl","CollgCr","Norm","Norm","1Fam","2Story",7,5,2004,"Gable","CompShg","VinylSd","VinylSd","None",0,"Gd","TA","PConc","Gd","TA","No","Unf","Unf",0,860,860,"GasA","Ex","Y","SBrkr",0,0,0,2,1,3,1,"Gd","Typ",0,"Attchd","RFn",565,"TA","Y",0,70,0,0,0,0,0,8,2006,"WD","Normal"
"60","RL",13682,"Pave","IR2","HLS","AllPub","CulDSac","Gtl","StoneBr","Norm","Norm","1Fam","2Story",10,5,2006,"Hip","CompShg","VinylSd","VinylSd","BrkFace",1031,"Ex","TA","PConc","Ex","TA","Gd","Unf","Unf",0,1410,1410,"GasA","Ex","Y","SBrkr",0,0,0,3,1,3,1,"Gd","Typ",1,"BuiltIn","Fin",641,"TA","Y",192,0,37,0,0,0,0,10,2006,"New","Partial"
